"uuid","url","custom_links"
"f2272380-124e-4874-896d-a2c8cd779126","https://www.abgeordnetenwatch.de/profile/peter-boehringer","https://www.facebook.com/Holt.unser.Gold.heim.PeterBoehringer/"
"f2272380-124e-4874-896d-a2c8cd779126","https://www.abgeordnetenwatch.de/profile/peter-boehringer","https://twitter.com/PeterBoehringer"
"f2272380-124e-4874-896d-a2c8cd779126","https://www.abgeordnetenwatch.de/profile/peter-boehringer","http://www.goldseitenblog.com/peter_boehringer/index.php"
"44b1c02b-0dff-4317-9a7d-455630ecff7a","https://www.abgeordnetenwatch.de/profile/paul-podolay","http://www.podolay.de/"
"44b1c02b-0dff-4317-9a7d-455630ecff7a","https://www.abgeordnetenwatch.de/profile/paul-podolay","https://www.xing.com/profile/Paul_Podolay"
"44b1c02b-0dff-4317-9a7d-455630ecff7a","https://www.abgeordnetenwatch.de/profile/paul-podolay","https://www.facebook.com/podolaypaul"
"44b1c02b-0dff-4317-9a7d-455630ecff7a","https://www.abgeordnetenwatch.de/profile/paul-podolay","https://www.facebook.com/pavol.podolay"
"44b1c02b-0dff-4317-9a7d-455630ecff7a","https://www.abgeordnetenwatch.de/profile/paul-podolay","https://twitter.com/podolay1"
"166031c1-54a8-41f7-897f-033caacd2296","https://www.abgeordnetenwatch.de/profile/martin-sichert","https://www.facebook.com/sichertmartin"
"166031c1-54a8-41f7-897f-033caacd2296","https://www.abgeordnetenwatch.de/profile/martin-sichert","https://www.youtube.com/channel/UCnM0vLp9DBb1gtOfhCklSYQ"
"166031c1-54a8-41f7-897f-033caacd2296","https://www.abgeordnetenwatch.de/profile/martin-sichert","https://www.facebook.com/sichertmartin/"
"b707dd81-710d-478f-996f-c339ac274f42","https://www.abgeordnetenwatch.de/profile/rainer-kraft","https://www.facebook.com/Rainer-Kraft-115152229053025/"
"683234f7-671c-43c4-b980-9a6aa002e3e6","https://www.abgeordnetenwatch.de/profile/peter-felser","http://peterfelser.de/"
"683234f7-671c-43c4-b980-9a6aa002e3e6","https://www.abgeordnetenwatch.de/profile/peter-felser","https://www.facebook.com/Peter-Felser-AfD-225499161202327/"
"cb76341a-a87f-4380-85a6-9d6600f3c8ea","https://www.abgeordnetenwatch.de/profile/dirk-spaniel","https://de.linkedin.com/in/dr-dirk-spaniel-059654109"
"cb76341a-a87f-4380-85a6-9d6600f3c8ea","https://www.abgeordnetenwatch.de/profile/dirk-spaniel","http://dirkspaniel.de/"
"cb76341a-a87f-4380-85a6-9d6600f3c8ea","https://www.abgeordnetenwatch.de/profile/dirk-spaniel","https://www.facebook.com/spaniel.afd"
"cb76341a-a87f-4380-85a6-9d6600f3c8ea","https://www.abgeordnetenwatch.de/profile/dirk-spaniel","https://twitter.com/dirkspaniel"
"942eed7f-b8e7-44f1-a6d3-e2c21b63dff5","https://www.abgeordnetenwatch.de/profile/lothar-maier-2","https://www.wen-waehlen.de/btw13/kandidaten/23436-lothar-maier.html"
"942eed7f-b8e7-44f1-a6d3-e2c21b63dff5","https://www.abgeordnetenwatch.de/profile/lothar-maier-2","https://de.wikipedia.org/wiki/Lothar_Maier"
"942eed7f-b8e7-44f1-a6d3-e2c21b63dff5","https://www.abgeordnetenwatch.de/profile/lothar-maier-2","https://www.lothar-maier.eu/"
"942eed7f-b8e7-44f1-a6d3-e2c21b63dff5","https://www.abgeordnetenwatch.de/profile/lothar-maier-2","https://www.youtube.com/channel/UCk048Rd6KVTC8oaD_ph6xNA"
